days_alive,work_days,spec_days,rest_days,final_cash,final_happiness
196,2,1,193,-5000.805174918444,100.0
187,1,2,184,-5075.729906619559,100.0
197,2,1,194,-5077.480469479589,100.0
194,5,0,189,-5042.920753573985,100.0
189,1,0,188,-5035.038483976613,100.0
193,4,0,189,-5056.423724502761,100.0
190,2,0,188,-5014.575875646255,100.0
199,4,1,194,-5047.184511171242,100.0
190,2,0,188,-5016.069120250012,100.0
184,4,1,179,-5041.144723552594,100.0
192,3,0,189,-5078.354697987332,100.0
194,5,0,189,-5034.512932798176,100.0
195,6,0,189,-5019.798679418673,100.0
195,6,0,189,-5014.361472048075,100.0
188,7,1,180,-5064.397004140482,100.0
203,12,0,191,-5068.075783967855,100.0
203,12,0,191,-5062.146815895764,100.0
208,16,0,192,-5059.231237392805,100.0
208,16,0,192,-5073.520444668631,100.0
211,19,0,192,-5003.645850024669,100.0
232,25,2,205,-5078.159117847597,100.0
226,26,1,199,-5019.140982466196,100.0
229,33,0,196,-5058.682716921272,100.0
256,55,0,201,-5039.964939075291,100.0
257,63,1,193,-5064.481793143463,100.0
277,67,1,209,-5042.573898651785,100.0
260,66,1,193,-5013.40971740418,99.0
319,156,3,160,-2055.9818707463414,-1.0
468,235,3,230,-5069.32716624959,68.0
315,103,0,212,-5057.027707958962,91.0
336,120,0,216,-5012.049189904897,100.0
358,138,0,220,-5020.90699894729,100.0
390,165,2,223,-5019.566691355525,99.0
312,90,2,220,-5051.337025916718,100.0
319,98,4,217,-5008.902593652138,100.0
312,127,0,185,-2292.0368342557185,0.0
390,186,0,204,-2667.759707300779,-2.0
400,194,1,205,-3422.2325816593916,-2.0
446,209,0,237,-5033.971214965448,53.0
452,237,1,214,-1906.9444822373323,-1.0
372,184,1,187,-770.1787068262512,-1.0
308,147,1,160,-561.8369237985717,-1.0
355,171,1,183,-1992.7739253128686,0.0
409,183,3,223,-4319.591986338141,0.0
414,182,0,232,-5038.186610473827,100.0
447,205,1,241,-5001.716858997676,57.0
384,190,0,194,-1669.404632732386,-1.0
400,200,0,200,-1960.894589424545,0.0
435,215,2,218,-2300.4305165778833,0.0
438,220,0,218,-3139.013331248636,-2.0
357,170,0,187,-1499.665450227853,-2.0
435,221,1,213,-3529.6707304539113,0.0
386,167,1,218,-5048.523702112686,100.0
424,210,0,214,-3006.4788241983806,-1.0
377,179,0,198,-2274.6034339118855,0.0
374,170,6,198,-2289.375338334056,-1.0
305,146,1,158,-405.57580044322714,0.0
392,197,2,193,-1770.7415291173297,-1.0
426,233,0,193,-657.6480527523769,0.0
667,372,5,290,-5048.535461425912,14.0
409,191,6,212,-5516.597253611962,64.0
437,201,0,236,-5008.20680672538,98.0
473,225,1,247,-5044.592118754887,89.0
498,254,3,241,-4379.093622625601,0.0
513,247,3,263,-5056.63834488739,100.0
317,119,2,196,-5009.395428010472,95.0
386,159,5,222,-5030.974751461419,99.0
335,127,3,205,-5042.962271546011,86.0
291,94,5,192,-5049.38420162285,100.0
290,72,2,216,-5077.620838180007,100.0
284,80,2,202,-5017.477166032673,99.0
262,64,6,192,-5155.602038634629,95.0
247,45,3,199,-5006.865567216061,100.0
231,46,5,180,-5009.588861796296,100.0
244,56,5,183,-5052.86416305884,100.0
285,86,1,198,-5005.813302034814,100.0
321,129,3,189,-5016.7862639247,100.0
328,131,6,191,-5025.3625336491305,98.0
294,96,5,193,-5039.165076773328,100.0
322,121,2,199,-5110.236002504954,93.0
471,235,1,235,-5062.996880123789,48.0
437,216,4,217,-5063.618923840989,98.0
479,239,4,236,-5015.025858665402,82.0
384,164,6,214,-5033.540639626263,99.0
321,116,3,202,-5057.501270383542,100.0
426,200,2,224,-3230.8655274115563,-1.0
273,78,3,192,-5002.906745358854,100.0
311,102,2,207,-5035.522418112294,100.0
391,162,4,225,-5718.776693350321,49.0
438,214,7,217,-3965.3487499534513,-2.0
451,210,3,238,-5008.061415689803,96.0
409,169,9,231,-5017.521935871156,100.0
276,92,3,181,-5014.910427740256,100.0
294,95,3,196,-5013.448710136198,100.0
301,86,1,214,-5067.455467300379,100.0
325,122,5,198,-5007.647397440783,78.0
546,282,3,261,-4209.810038220812,0.0
442,247,6,189,-2466.220039206398,-2.0
68,49,0,19,9525.293186368157,-2.0
105,72,0,33,8898.685580788122,-1.0
128,87,1,40,9079.698146791281,-1.0
248,159,2,87,4847.655501046927,-2.0
592,354,3,235,-1423.1038978998859,0.0
455,215,0,240,-5023.616272496624,100.0
491,266,1,224,-3502.3555759519313,-1.0
583,318,0,265,-5028.08233933184,44.0
524,287,1,236,-2743.755851758347,-1.0
447,244,0,203,-1243.8103346159462,-2.0
555,301,1,253,-5048.791771111885,93.0
419,188,2,229,-5064.253979901797,100.0
385,159,0,226,-5027.822629878858,95.0
358,137,0,221,-5045.267844297754,100.0
381,156,0,225,-5037.086975237735,100.0
383,189,2,192,-656.1129184341871,-2.0
434,238,2,194,-998.8947321114401,0.0
649,365,1,283,-5025.101155929013,59.0
518,288,2,228,-1521.5164809020544,-1.0
480,269,2,209,-1543.2772190444052,-1.0
463,247,1,215,-3066.5743831792292,-2.0
543,281,1,261,-5026.867293995155,66.0
539,285,2,252,-5071.484628985077,48.0
375,151,0,224,-5022.794734851609,88.0
414,168,3,243,-5023.940458105031,100.0
386,154,1,231,-5056.900237639806,100.0
434,193,1,240,-5020.710816112152,100.0
491,250,1,240,-5045.393530494852,99.0
427,187,1,239,-5014.044205389595,100.0
468,233,1,234,-5049.724440200767,71.0
450,210,0,240,-5013.104613045312,100.0
373,141,4,228,-5029.834230678598,100.0
373,151,2,220,-5006.949329266603,100.0
459,227,3,229,-5047.898097234589,98.0
362,135,1,226,-5021.41081803714,100.0
338,111,2,225,-5018.07742333658,99.0
291,90,1,200,-5075.7495165690325,100.0
295,93,1,201,-5075.868641786863,100.0
386,160,0,226,-5002.874233900031,98.0
343,128,2,213,-5001.698156885183,62.0
420,187,0,233,-5057.509018988269,98.0
571,297,4,270,-5440.7704770888295,40.0
508,252,1,255,-5044.891260510911,92.0
565,319,2,244,-2223.2975815333502,-2.0
390,236,1,153,1920.5820948993028,-2.0
268,64,0,204,-5003.73049714475,100.0
245,46,0,199,-5035.355549105138,100.0
233,36,0,197,-5064.932916395592,100.0
237,39,0,198,-5082.21055298536,100.0
234,37,0,197,-5057.470671230826,100.0
239,41,0,198,-5054.128068551384,100.0
233,36,0,197,-5068.523088193631,100.0
280,69,1,210,-5027.447924608128,100.0
244,45,0,199,-5060.174088650054,100.0
255,54,0,201,-5011.1760567842375,100.0
222,41,2,179,-5076.237913294852,100.0
257,55,0,202,-5071.803301242945,100.0
